        Problem       Time       Iter     Status
         25fv47       0.10         24    optimal
        80bau3b       0.27         39    optimal
       adlittle       0.01         12    optimal
          afiro       0.00          7    optimal
            agg       0.02         31    optimal
           agg2       0.03         23    optimal
           agg3       0.03         20    optimal
          bandm       0.02         16    optimal
       beaconfd       0.00          7    optimal
          blend       0.01          8    optimal
           bnl1       0.05         26    optimal
           bnl2       0.19         31    optimal
        boeing1       0.05         21    optimal
        boeing2       0.01         16    optimal
         bore3d       0.01         15    optimal
         brandy       0.01         17    optimal
          capri       0.02         16    optimal
          cycle       0.14         30    optimal
         czprob       0.15         31    optimal
         d2q06c       0.32         31    optimal
         d6cube       0.12         22    optimal
         degen2       0.04         12    optimal
         degen3       0.20         17    optimal
         dfl001       4.13        100   max iter
           e226       0.02         19    optimal
       etamacro       0.04         25    optimal
       fffff800       0.05         32    optimal
         finnis       0.03         19    optimal
          fit1d       0.02         19    optimal
          fit1p       0.26         16    optimal
          fit2d       0.12         20    optimal
          fit2p       7.35         18    optimal
        forplan       0.03         22    optimal
         ganges       0.03         15    optimal
       gfrd-pnc       0.02         17    optimal
       greenbea       0.54        100   max iter
       greenbeb       0.30         42    optimal
         grow15       0.02         19    optimal
         grow22       0.14        100   max iter
          grow7       0.01         14    optimal
         israel       0.03         25    optimal
            kb2       0.01         24    optimal
          lotfi       0.01         14    optimal
       maros-r7       0.36         14    optimal
          maros       0.05         26    optimal
        modszk1       0.04         21    optimal
           nesm       0.08         34    optimal
         perold       0.09         30    optimal
       pilot.ja       0.21         34    optimal
          pilot       0.55         34    optimal
       pilot.we       0.32        100   max iter
         pilot4       0.11         36    optimal
        pilot87       1.23         38    optimal
       pilotnov       0.16         21    optimal
           qap8       0.06          9    optimal
          qap12       1.84         18    optimal
          qap15       8.70         21    optimal
         recipe       0.00          8    optimal
          sc105       0.01         10    optimal
          sc205       0.01         11    optimal
          sc50a       0.00          8    optimal
          sc50b       0.00          8    optimal
        scagr25       0.01         18    optimal
         scagr7       0.01         15    optimal
         scfxm1       0.02         18    optimal
         scfxm2       0.04         20    optimal
         scfxm3       0.05         21    optimal
       scorpion       0.00         11    optimal
          scrs8       0.01         16    optimal
          scsd1       0.01          9    optimal
          scsd6       0.01         11    optimal
          scsd8       0.01         10    optimal
         sctap1       0.02         14    optimal
         sctap2       0.04         15    optimal
         sctap3       0.05         14    optimal
           seba       0.00          8    optimal
        share1b       0.01         23    optimal
        share2b       0.01         11    optimal
          shell       0.02         21    optimal
        ship04l       0.03         15    optimal
        ship04s       0.01         15    optimal
        ship08l       0.05         16    optimal
        ship08s       0.02         13    optimal
        ship12l       0.04         17    optimal
        ship12s       0.02         16    optimal
         sierra       0.04         18    optimal
          stair       0.03         14    optimal
       standata       0.01         12    optimal
       standgub       0.01         12    optimal
       standmps       0.03         21    optimal
       stocfor1       0.01         11    optimal
       stocfor2       0.08         16    optimal
           tuff       0.02         19    optimal
       vtp.base       0.01         10    optimal
         wood1p       0.06         19    optimal
          woodw       0.08         23    optimal

================
Total time:      34.50 sec
Optimal   :         92 / 96
