        Problem       Time       Iter     Status
         25fv47       0.25         24    optimal
        80bau3b       1.12         41    optimal
       adlittle       0.02         12    optimal
          afiro       0.01          7    optimal
            agg       0.04         31    optimal
           agg2       0.05         23    optimal
           agg3       0.09         20    optimal
          bandm       0.02         16    optimal
       beaconfd       0.00          7    optimal
          blend       0.01          8    optimal
           bnl1       0.17         26    optimal
           bnl2       0.53         31    optimal
        boeing1       0.10         21    optimal
        boeing2       0.03         16    optimal
         bore3d       0.01         15    optimal
         brandy       0.03         17    optimal
          capri       0.02         16    optimal
          cycle       0.47         30    optimal
         czprob       0.25         31    optimal
         d2q06c       1.24         31    optimal
         d6cube       1.12         22    optimal
         degen2       0.06         12    optimal
         degen3       0.34         16    optimal
         dfl001       5.02         44    optimal
           e226       0.06         19    optimal
       etamacro       0.08         25    optimal
       fffff800       0.19         32    optimal
         finnis       0.05         19    optimal
          fit1d       0.24         19    optimal
          fit1p       0.59         16    optimal
          fit2d       2.31         20    optimal
          fit2p      10.34         18    optimal
        forplan       0.07         20    optimal
         ganges       0.04         15    optimal
       gfrd-pnc       0.04         17    optimal
       greenbea       0.72         49    optimal
       greenbeb       0.61         38    optimal
         grow15       0.10         14    optimal
         grow22       0.24         15    optimal
          grow7       0.04         14    optimal
         israel       0.08         25    optimal
            kb2       0.02         24    optimal
          lotfi       0.03         14    optimal
       maros-r7       1.86         14    optimal
          maros       0.15         26    optimal
        modszk1       0.12         21    optimal
           nesm       0.76         34    optimal
         perold       0.44         30    optimal
       pilot.ja       1.48         34    optimal
          pilot       2.04         34    optimal
       pilot.we       0.24         41    optimal
         pilot4       0.40         36    optimal
        pilot87      29.02         38    optimal
       pilotnov       0.98         21    optimal
           qap8       0.14          9    optimal
          qap12       4.16         18    optimal
          qap15      29.02         21    optimal
         recipe       0.01          8    optimal
          sc105       0.01         10    optimal
          sc205       0.03         11    optimal
          sc50a       0.01          8    optimal
          sc50b       0.00          8    optimal
        scagr25       0.02         18    optimal
         scagr7       0.02         15    optimal
         scfxm1       0.03         18    optimal
         scfxm2       0.07         20    optimal
         scfxm3       0.09         21    optimal
       scorpion       0.01         11    optimal
          scrs8       0.04         16    optimal
          scsd1       0.05          9    optimal
          scsd6       0.08         11    optimal
          scsd8       0.14         10    optimal
         sctap1       0.03         14    optimal
         sctap2       0.08         15    optimal
         sctap3       0.09         14    optimal
           seba       0.00          8    optimal
        share1b       0.03         23    optimal
        share2b       0.01         11    optimal
          shell       0.10         21    optimal
        ship04l       0.08         13    optimal
        ship04s       0.06         13    optimal
        ship08l       0.12         15    optimal
        ship08s       0.08         13    optimal
        ship12l       0.16         17    optimal
        ship12s       0.11         16    optimal
         sierra       0.09         18    optimal
          stair       0.03         14    optimal
       standata       0.01         12    optimal
       standgub       0.02         12    optimal
       standmps       0.06         21    optimal
       stocfor1       0.01         11    optimal
       stocfor2       0.11         16    optimal
           tuff       0.11         19    optimal
       vtp.base       0.01         10    optimal
         wood1p       0.32         19    optimal
          woodw       0.90         23    optimal

================
Total time:     105.82 sec
Optimal   :         96 / 96
