        Problem       Time       Iter     Status
         25fv47       0.30         25    optimal
        80bau3b       1.23         42    optimal
       adlittle       0.01         12    optimal
          afiro       0.00          7    optimal
            agg       0.13        100   max iter
           agg2       0.25        100   max iter
           agg3       0.20         81    optimal
          bandm       0.04         16    optimal
       beaconfd       0.00          7    optimal
          blend       0.02          8    optimal
           bnl1       0.18         26    optimal
           bnl2       2.67        100   max iter
        boeing1       0.35        100   max iter
        boeing2       0.02         16    optimal
         bore3d       0.01         19    optimal
         brandy       0.02         17    optimal
          capri       0.03         16    optimal
          cycle       1.58        100   max iter
         czprob       0.77        100   max iter
         d2q06c       3.13         73    optimal
         d6cube       1.12         22    optimal
         degen2       0.06         12    optimal
         degen3       0.29         16    optimal
         dfl001       8.84        100   max iter
           e226       0.11         19    optimal
       etamacro       0.47        100   max iter
       fffff800       0.36         64    optimal
         finnis       0.08         22    optimal
          fit1d       0.27         20    optimal
          fit1p       0.57         16    optimal
          fit2d       2.20         20    optimal
          fit2p      10.85         18    optimal
        forplan       0.09         20    optimal
         ganges       0.04         14    optimal
       gfrd-pnc       0.06         17    optimal
       greenbea       0.96         64    optimal
       greenbeb       1.66        100   max iter
         grow15       0.10         14    optimal
         grow22       0.24         16    optimal
          grow7       0.03         14    optimal
         israel       0.19         47    optimal
            kb2       0.02         24    optimal
          lotfi       0.23         99    optimal
       maros-r7       1.84         14    optimal
          maros       0.54        100   max iter
        modszk1       0.22         37    optimal
           nesm       1.28         72    optimal
         perold       3.84        100   max iter
       pilot.ja       4.48        100   max iter
          pilot       4.72        100   max iter
       pilot.we       0.58        100   max iter
         pilot4       0.90        100   max iter
        pilot87      47.11        100   max iter
       pilotnov       0.76         20    optimal
           qap8       0.18         11    optimal
          qap12      27.22        100   max iter
          qap15     119.70        100   max iter
         recipe       0.01          8    optimal
          sc105       0.01         10    optimal
          sc205       0.01         13    optimal
          sc50a       0.01          8    optimal
          sc50b       0.00          8    optimal
        scagr25       0.02         18    optimal
         scagr7       0.01         15    optimal
         scfxm1       0.03         19    optimal
         scfxm2       0.07         21    optimal
         scfxm3       0.09         20    optimal
       scorpion       0.01         10    optimal
          scrs8       0.05         16    optimal
          scsd1       0.05          9    optimal
          scsd6       0.08         11    optimal
          scsd8       0.15         10    optimal
         sctap1       0.03         14    optimal
         sctap2       0.08         15    optimal
         sctap3       0.09         14    optimal
           seba       0.01          8    optimal
        share1b       0.12        100   max iter
        share2b       0.01         11    optimal
          shell       0.09         21    optimal
        ship04l       0.08         13    optimal
        ship04s       0.06         13    optimal
        ship08l       0.11         15    optimal
        ship08s       0.07         13    optimal
        ship12l       0.33         16    optimal
        ship12s       0.60         16    optimal
         sierra       0.59         18    optimal
          stair       0.22         14    optimal
       standata       0.06         12    optimal
       standgub       0.10         12    optimal
       standmps       0.67         21    optimal
       stocfor1       0.05         11    optimal
       stocfor2       0.50         16    optimal
           tuff       1.66        100   max iter
       vtp.base       0.01         10    optimal
         wood1p       0.61         18    optimal
          woodw       1.28         23    optimal

================
Total time:     266.11 sec
Optimal   :         76 / 96
