        Problem       Time       Iter     Status
         25fv47       0.58        100   max iter
        80bau3b       2.17         53    optimal
       adlittle       0.01         13    optimal
          afiro       0.00          8    optimal
            agg       0.07        100   max iter
           agg2       0.12        100   max iter
           agg3       0.10         82    optimal
          bandm       0.02         17    optimal
       beaconfd       0.00          8    optimal
          blend       0.00          9    optimal
           bnl1       0.06         30    optimal
           bnl2       1.51        100   max iter
        boeing1       0.11        100   max iter
        boeing2       0.01         17    optimal
         bore3d       0.01         20    optimal
         brandy       0.01         18    optimal
          capri       0.01         17    optimal
          cycle       0.89        100   max iter
         czprob       2.95        100   max iter
         d2q06c       1.77        100   max iter
         d6cube       0.14         23    optimal
         degen2       0.04         13    optimal
         degen3       0.19         17    optimal
         dfl001       1.83        100   max iter
           e226       0.02         20    optimal
       etamacro       0.14        100   max iter
       fffff800       0.06         36    optimal
         finnis       0.10        100   max iter
          fit1d       0.02         21    optimal
          fit1p       0.26         17    optimal
          fit2d       0.13         21    optimal
          fit2p       7.66         19    optimal
        forplan       0.06         30    optimal
         ganges       0.02         15    optimal
       gfrd-pnc       0.02         18    optimal
       greenbea       0.84        100   max iter
       greenbeb       0.52        100   max iter
         grow15       0.02         15    optimal
         grow22       0.03         17    optimal
          grow7       0.02         15    optimal
         israel       0.07         48    optimal
            kb2       0.02         25    optimal
          lotfi       0.07        100   max iter
       maros-r7       0.40         15    optimal
          maros       0.23        100   max iter
        modszk1       0.10         38    optimal
           nesm       0.27        100   max iter
         perold       0.34        100   max iter
       pilot.ja       0.71        100   max iter
          pilot       1.57        100   max iter
       pilot.we       0.33        100   max iter
         pilot4       0.22        100   max iter
        pilot87       3.18        100   max iter
       pilotnov       0.13         22    optimal
           qap8       0.08         12    optimal
          qap12      11.27        100   max iter
          qap15      46.19        100   max iter
         recipe       0.01          9    optimal
          sc105       0.01         11    optimal
          sc205       0.01         14    optimal
          sc50a       0.00          9    optimal
          sc50b       0.00          9    optimal
        scagr25       0.02         19    optimal
         scagr7       0.01         16    optimal
         scfxm1       0.02         20    optimal
         scfxm2       0.04         22    optimal
         scfxm3       0.05         21    optimal
       scorpion       0.01         11    optimal
          scrs8       0.02         17    optimal
          scsd1       0.01         10    optimal
          scsd6       0.01         12    optimal
          scsd8       0.02         11    optimal
         sctap1       0.02         15    optimal
         sctap2       0.04         16    optimal
         sctap3       0.05         15    optimal
           seba       0.00          9    optimal
        share1b       0.06        100   max iter
        share2b       0.01         12    optimal
          shell       0.02         22    optimal
        ship04l       0.03         14    optimal
        ship04s       0.01         14    optimal
        ship08l       0.04         16    optimal
        ship08s       0.01         14    optimal
        ship12l       0.04         17    optimal
        ship12s       0.02         17    optimal
         sierra       0.27        100   max iter
          stair       0.02         15    optimal
       standata       0.01         13    optimal
       standgub       0.01         13    optimal
       standmps       0.03         22    optimal
       stocfor1       0.01         12    optimal
       stocfor2       0.08         17    optimal
           tuff       0.11        100   max iter
       vtp.base       0.00         11    optimal
         wood1p       0.06         19    optimal
          woodw       0.08         24    optimal

================
Total time:      93.80 sec
Optimal   :         69 / 96
